id,"gp","fund"
3,"上海景林资产管理有限公司","景林全球基金专享子基金1号"
4,"上海景林资产管理有限公司","景林全球基金专享子基金A期"
5,"上海景林资产管理有限公司","景林全球基金"
6,"上海景林资产管理有限公司","景林创新成长子基金5号"
7,"上海景林资产管理有限公司","景林创新成长子基金2号"
8,"上海景林资产管理有限公司","景林创新成长子基金3号"
9,"上海景林资产管理有限公司","景林定慧基金"
10,"上海景林资产管理有限公司","景林创新成长子基金1号"
11,"上海景林资产管理有限公司","景林创新成长基金"
12,"上海景林资产管理有限公司","上海景林业旭投资中心（有限合伙）"
13,"上海景林资产管理有限公司","上海景覃投资中心（有限合伙）"
14,"上海尚雅投资管理有限公司","尚雅尊享1号基金"
15,"上海尚雅投资管理有限公司","尚雅宏远体育专项投资基金"
16,"新沃股权投资基金管理（天津）有限公司","大连新沃嘉隆股权投资管理中心（有限合伙）"
17,"新沃股权投资基金管理（天津）有限公司","上海沃昌隆投资管理中心（有限合伙）"
18,"新沃股权投资基金管理（天津）有限公司","上海沃恒隆投资管理中心（有限合伙）"
19,"新沃股权投资基金管理（天津）有限公司","上海沃璞隆投资管理中心（有限合伙）"
20,"新沃股权投资基金管理（天津）有限公司","上海沃朝隆投资管理中心（有限合伙）"
21,"新沃股权投资基金管理（天津）有限公司","大连新沃央隆股权投资管理中心（有限合伙）"
22,"新沃股权投资基金管理（天津）有限公司","上海沃欣隆投资管理中心（有限合伙）"
23,"新沃股权投资基金管理（天津）有限公司","上海沃祥隆投资管理中心（有限合伙）"
24,"新沃股权投资基金管理（天津）有限公司","上海沃武隆投资管理中心（有限合伙）"
25,"新沃股权投资基金管理（天津）有限公司","大连新沃福隆股权投资管理中心（有限合伙）"
26,"新沃股权投资基金管理（天津）有限公司","上海沃鹤隆投资管理中心（有限合伙）"
27,"新沃股权投资基金管理（天津）有限公司","上海沃拓隆投资管理中心（有限合伙）"
28,"新沃股权投资基金管理（天津）有限公司","上海沃全隆投资管理中心（有限合伙）"
29,"新沃股权投资基金管理（天津）有限公司","上海沃文隆投资管理中心（有限合伙）"
30,"新沃股权投资基金管理（天津）有限公司","三亚新沃豪泰投资管理中心（有限合伙）"
31,"新沃股权投资基金管理（天津）有限公司","上海沃衡隆投资管理中心（有限合伙）"
32,"新沃股权投资基金管理（天津）有限公司","上海沃乾润投资管理中心（有限合伙）"
33,"新沃股权投资基金管理（天津）有限公司","长春市沣民乾始投资合伙企业（有限合伙）"
34,"新沃股权投资基金管理（天津）有限公司","长春市沣民坤厚投资合伙企业（有限合伙）"
35,"新沃股权投资基金管理（天津）有限公司","嘉兴沃安投资合伙企业（有限合伙）"
36,"新沃股权投资基金管理（天津）有限公司","嘉兴沃庆投资合伙企业（有限合伙）"
37,"新沃股权投资基金管理（天津）有限公司","上海沃标投资管理中心（有限合伙）"
38,"鼎晖股权投资管理（天津）有限公司","天津鼎晖元博股权投资基金 (有限合伙)"
39,"鼎晖股权投资管理（天津）有限公司","上海鼎晖嘉熙股权投资合伙企业（有限合伙）"
40,"鼎晖股权投资管理（天津）有限公司","天津鼎晖嘉尚股权投资合伙企业 (有限合伙)"
41,"鼎晖股权投资管理（天津）有限公司","天津鼎晖股权投资一期基金 (有限合伙)"
42,"鼎晖股权投资管理（天津）有限公司","天津鼎晖稳盈股权投资基金合伙企业（有限合伙）"
43,"鼎晖股权投资管理（天津）有限公司","天津鼎晖稳丰股权投资基金合伙企业（有限合伙）"
44,"鼎晖股权投资管理（天津）有限公司","宁波鼎一安鑫股权投资合伙企业（有限合伙）"
45,"广东中科招商创业投资管理有限责任公司","中山中科鸿业创业投资有限公司"
46,"广东中科招商创业投资管理有限责任公司","中山中科南头创业投资有限公司"
47,"广东中科招商创业投资管理有限责任公司","广东中科白云新兴产业创业投资基金有限公司"
48,"广东中科招商创业投资管理有限责任公司","中山中科股权投资有限公司"
49,"广东中科招商创业投资管理有限责任公司","广东中科白云投资管理有限公司"
50,"广东中科招商创业投资管理有限责任公司","中山中科三乡创业投资有限公司"
51,"广东中科招商创业投资管理有限责任公司","梅州中科客家创业投资有限公司"
52,"广东中科招商创业投资管理有限责任公司","中山中科阜鑫投资管理有限公司"
53,"广东中科招商创业投资管理有限责任公司","中山中科新港创业投资有限公司"
54,"广东中科招商创业投资管理有限责任公司","珠海横琴中科浏阳河创业投资合伙企业（有限合伙）"
55,"广东中科招商创业投资管理有限责任公司","湖南中科浏阳河创业投资有限公司"
56,"广东中科招商创业投资管理有限责任公司","广东中科云港投资合伙企业（有限合伙）"
57,"广东中科招商创业投资管理有限责任公司","中山中科恒业投资管理有限公司"
58,"广东中科招商创业投资管理有限责任公司","中山中科创业投资有限公司"
59,"广东中科招商创业投资管理有限责任公司","珠海横琴中科白云股权投资基金合伙企业（有限合伙）"
60,"广东中科招商创业投资管理有限责任公司","珠海横琴中科粤湘创业投资合伙企业（有限合伙）"
61,"广东中科招商创业投资管理有限责任公司","珠海横琴中科天目创业投资合伙企业（有限合伙）"
62,"广东中科招商创业投资管理有限责任公司","佛山中科金禅智慧产业股权投资合伙企业（有限合伙）"
63,"广东中科招商创业投资管理有限责任公司","珠海横琴中科二十一世纪文化传媒产业创业投资基金合伙企业（有限合伙）"
64,"广东中科招商创业投资管理有限责任公司","珠海横琴勇华环保产业投资合伙企业（有限合伙）"
65,"广东中科招商创业投资管理有限责任公司","珠海横琴中科华阳产业投资合伙企业（有限合伙）"
66,"广东中科招商创业投资管理有限责任公司","广州天河中科一号创业投资基金合伙企业（有限合伙）"
67,"广东中科招商创业投资管理有限责任公司","珠海横琴中科白云中证股权投资合伙企业（有限合伙）"
68,"广东中科招商创业投资管理有限责任公司","广东中科招商沃土一号创业投资基金合伙企业（有限合伙）"
69,"上海复星创富投资管理股份有限公司","上海复星创富股权投资基金合伙企业（有限合伙）"
70,"上海复星创富投资管理股份有限公司","上海复星惟实一期股权投资基金合伙企业（有限合伙）"
71,"上海复星创富投资管理股份有限公司","杭州浙商成长股权投资基金合伙企业（有限合伙）"
72,"上海复星创富投资管理股份有限公司","深圳前海复星长歌时尚产业投资基金（有限合伙）"
73,"上海复星创富投资管理股份有限公司","上海惟冉投资管理中心（有限合伙）"
74,"上海复星创富投资管理股份有限公司","济南财金复星惟实股权投资基金合伙企业（有限合伙）"
75,"上海国富投资管理有限公司","上海国富永泓投资企业（有限合伙）"
76,"上海国富投资管理有限公司","上海国富永源投资企业（有限合伙）"
77,"上海国富投资管理有限公司","上海国富永熙投资合伙企业（有限合伙）"
78,"上海国富投资管理有限公司","上海国富永瀛投资合伙企业（有限合伙）"
79,"上海国富投资管理有限公司","上海国富永泽投资中心（有限合伙）"
80,"上海国富投资管理有限公司","上海国富永钦投资合伙企业（有限合伙）"
81,"上海国富投资管理有限公司","上海国富永楠投资合伙企业（有限合伙）"
82,"上海国富投资管理有限公司","上海国富永钤投资合伙企业（有限合伙）"
83,"上海国富投资管理有限公司","上海国富永沣投资合伙企业（有限合伙）"
84,"深圳市明曜投资管理有限公司","华测检测实际控制人市值委托管理"
85,"深圳市明曜投资管理有限公司","深圳明曜一期股权投资基金合伙企业（有限合伙）"
86,"君联资本管理股份有限公司","天津君睿祺股权投资合伙企业（有限合伙）"
87,"君联资本管理股份有限公司","北京君联睿智创业投资中心（有限合伙）"
88,"君联资本管理股份有限公司","北京君联茂林股权投资合伙企业（有限合伙）"
89,"君联资本管理股份有限公司","天津星旷企业管理咨询合伙企业（有限合伙）"
90,"君联资本管理股份有限公司","北京君联益康股权投资合伙企业（有限合伙）"
91,"君联资本管理股份有限公司","天津君联晟晖投资合伙企业（有限合伙）"
92,"君联资本管理股份有限公司","君联弘创1号基金"
93,"君联资本管理股份有限公司","北京君联名德股权投资合伙企业（有限合伙）"
94,"君联资本管理股份有限公司","珠海君联秉德股权投资企业（有限合伙）"
95,"君联资本管理股份有限公司","北京君联新海股权投资合伙企业（有限合伙）"
96,"君联资本管理股份有限公司","横琴君联世成投资企业（有限合伙）"
97,"君联资本管理股份有限公司","厦门君联建发新媒体股权投资合伙企业（有限合伙）"
98,"君联资本管理股份有限公司","北京君联慧诚股权投资合伙企业（有限合伙）"
99,"天津歌斐资产管理有限公司","昆山歌斐谨弘股权投资中心（有限合伙）"
100,"天津歌斐资产管理有限公司","威海谨乾股权投资中心（有限合伙）"
101,"天津歌斐资产管理有限公司","天津歌斐兴业股权投资基金合伙企业（有限合伙）"
102,"天津歌斐资产管理有限公司","昆山歌斐谨瑞股权投资中心（有限合伙）"
103,"天津歌斐资产管理有限公司","昆山歌斐谨承股权投资中心（有限合伙）"
104,"天津歌斐资产管理有限公司","昆山歌斐谨永股权投资中心（有限合伙）"
105,"天津歌斐资产管理有限公司","天津歌斐基业股权投资基金合伙企业（有限合伙）"
106,"天津歌斐资产管理有限公司","昆山歌斐嘉汇股权投资中心（有限合伙）"
107,"天津歌斐资产管理有限公司","天津歌斐鑫股权投资基金合伙企业（有限合伙）"
108,"天津歌斐资产管理有限公司","天津歌斐嘉安股权投资基金合伙企业（有限合伙）"
109,"天津歌斐资产管理有限公司","歌斐资产永弘投资基金"
110,"天津歌斐资产管理有限公司","歌斐资产天津歌斐鑫一号投资基金"
111,"天津歌斐资产管理有限公司","歌斐诺亚天工原创一号投资基金"
112,"友山基金管理有限公司","友山金沙1号财产权投资基金"
113,"友山基金管理有限公司","台江县党建扶贫发展基金管理中心（有限合伙）"
114,"友山基金管理有限公司","友山金沙2号财产权投资基金"
115,"友山基金管理有限公司","友山兴瓮1号财产权投资基金"
116,"友山基金管理有限公司","友山金沙3号财产权投资基金"
117,"友山基金管理有限公司","道真自治县扶贫发展基金管理中心（有限合伙）"
118,"友山基金管理有限公司","遵义市汇川友山扶贫发展股权投资基金管理中心（有限合伙）"
119,"友山基金管理有限公司","盘县扶贫发展基金管理中心（有限合伙）"
120,"友山基金管理有限公司","友山天璐1号"
121,"友山基金管理有限公司","友山茅台酒股权投资基金"
122,"友山基金管理有限公司","北恒1号混合型基金"
123,"上海宝银创赢投资管理有限公司","上海宝银创赢上市股权3期基金"
124,"上海宝银创赢投资管理有限公司","上海宝银创赢上市股权1期基金"
125,"上海宝银创赢投资管理有限公司","上海宝银创赢上市股权2期基金"
126,"中关村三川（北京）股权投资管理有限公司","北京中关村国盛创业投资中心（有限合伙）"
127,"歌斐资产管理有限公司","上海歌斐鸿瀚投资中心（有限合伙）"
128,"歌斐资产管理有限公司","歌斐资产泉州石狮2号基金"
129,"歌斐资产管理有限公司","歌斐资产泉州石狮1号基金"
130,"歌斐资产管理有限公司","上海歌斐信寓投资中心（有限合伙）"
131,"歌斐资产管理有限公司","上海歌斐鸿卧投资中心（有限合伙）"
132,"歌斐资产管理有限公司","歌斐资产以诺教育基金一号"
133,"歌斐资产管理有限公司","歌斐诺亚光谷联合合肥金融港投资基金"
134,"歌斐资产管理有限公司","上海歌斐彩虹投资合伙企业(有限合伙)"
135,"歌斐资产管理有限公司","昆山歌斐鸿坤股权投资中心（有限合伙）"
136,"歌斐资产管理有限公司","歌斐资产国金鼎兴贰号专项投资基金"
137,"歌斐资产管理有限公司","上海歌斐鸿本投资中心（有限合伙）"
138,"歌斐资产管理有限公司","上海歌斐鸿馨投资中心（有限合伙）"
139,"歌斐资产管理有限公司","上海歌斐鸿仑投资中心（有限合伙）"
140,"歌斐资产管理有限公司","歌斐聚鑫一号投资基金"
141,"歌斐资产管理有限公司","上海歌斐星泊投资中心（有限合伙）"
142,"歌斐资产管理有限公司","上海歌斐鸿阳投资中心（有限合伙）"
143,"歌斐资产管理有限公司","上海歌斐星舟投资中心(有限合伙)"
144,"歌斐资产管理有限公司","昆山歌斐鸿乾股权投资中心（有限合伙）"
145,"歌斐资产管理有限公司","上海歌斐融礼投资中心（有限合伙）"
146,"歌斐资产管理有限公司","上海歌斐景曦投资中心(有限合伙)"
147,"歌斐资产管理有限公司","上海歌斐景颖投资中心(有限合伙)"
148,"歌斐资产管理有限公司","上海歌斐信勉投资中心（有限合伙）"
149,"歌斐资产管理有限公司","歌斐创世海尔供应链三期"
150,"歌斐资产管理有限公司","珠海麒君股权投资中心（有限合伙）"
151,"歌斐资产管理有限公司","芜湖琢珺投资中心（有限合伙）"
152,"歌斐资产管理有限公司","芜湖玉笛投资中心（有限合伙）"
153,"歌斐资产管理有限公司","珠海睿淼股权投资中心（有限合伙）"
154,"歌斐资产管理有限公司","珠海君旻股权投资中心（有限合伙）"
155,"歌斐资产管理有限公司","歌斐爱琴海一号投资基金"
156,"歌斐资产管理有限公司","歌斐西城汇一号投资基金"
157,"歌斐资产管理有限公司","歌斐创世STX影视一号投资基金"
158,"歌斐资产管理有限公司","歌斐诺亚中石化股权七号投资基金"
159,"歌斐资产管理有限公司","歌斐诺亚中石化股权八号投资基金"
160,"歌斐资产管理有限公司","歌斐诺亚中石化股权九号投资基金"
161,"歌斐资产管理有限公司","歌斐创世核心企业一号投资基金"
162,"歌斐资产管理有限公司","歌斐创世世茂江苏一号投资基金"
163,"歌斐资产管理有限公司","歌斐诺亚百年基业2015158号专项投资基金"
164,"歌斐资产管理有限公司","歌斐诺亚中石化股权六号投资基金"
165,"歌斐资产管理有限公司","歌斐创世先锋租赁应收款二期投资基金"
166,"歌斐资产管理有限公司","芜湖湘闵投资中心（有限合伙）"
167,"歌斐资产管理有限公司","珠海君阳股权投资中心（有限合伙）"
168,"歌斐资产管理有限公司","珠海君礼股权投资中心（有限合伙）"
169,"歌斐资产管理有限公司","歌斐橡树全球困境机会1号投资基金"
170,"歌斐资产管理有限公司","歌斐资产全球通三号投资基金"
171,"歌斐资产管理有限公司","歌斐资产环宇通一号投资基金"
172,"歌斐资产管理有限公司","珠海麒贝股权投资中心（有限合伙）"
173,"歌斐资产管理有限公司","歌斐诺亚铁狮门深圳一号投资基金"
174,"歌斐资产管理有限公司","歌斐创世宝庆1号投资基金"
175,"歌斐资产管理有限公司","歌斐资产全球通一号投资基金"
176,"歌斐资产管理有限公司","歌斐隆鑫地产债权四号投资基金"
177,"歌斐资产管理有限公司","上海歌湖投资中心（有限合伙）"
178,"歌斐资产管理有限公司","歌斐诺亚百年基业2015152号专项投资基金"
179,"歌斐资产管理有限公司","歌斐创世优选一号投资基金"
180,"歌斐资产管理有限公司","上海沛斐投资中心（有限合伙）"
181,"歌斐资产管理有限公司","歌斐诺亚百年基业2015023号专项投资基金"
182,"歌斐资产管理有限公司","歌斐诺亚中石化股权零号投资基金"
183,"歌斐资产管理有限公司","歌斐创世优选二号投资基金"
184,"歌斐资产管理有限公司","歌斐诺亚百年基业2015016号专项投资基金"
185,"歌斐资产管理有限公司","景林歌斐创世海外投资基金第二期2号"
186,"歌斐资产管理有限公司","珠海臻诺股权投资中心（有限合伙）"
187,"歌斐资产管理有限公司","珠海君淼股权投资中心（有限合伙）"
188,"歌斐资产管理有限公司","景林歌斐创世海外投资基金第二期3号"
189,"歌斐资产管理有限公司","珠海麒安股权投资中心（有限合伙）"
190,"歌斐资产管理有限公司","歌斐资产君联投资基金"
191,"歌斐资产管理有限公司","歌斐诺亚百年基业2015001号专项投资基金"
192,"歌斐资产管理有限公司","珠海麒昼股权投资中心（有限合伙）"
193,"歌斐资产管理有限公司","歌斐资产海外通三号投资基金"
194,"歌斐资产管理有限公司","珠海睿业股权投资中心（有限合伙）"
195,"歌斐资产管理有限公司","芜湖歌斐华津投资中心（有限合伙）"
196,"歌斐资产管理有限公司","歌斐创世核心企业二号投资基金"
197,"歌斐资产管理有限公司","歌斐诺亚百年基业2015078号专项投资基金"
198,"歌斐资产管理有限公司","歌斐诺亚百年基业2015002号专项投资基金"
199,"歌斐资产管理有限公司","歌斐诺亚百年基业2015003号专项投资基金"
200,"歌斐资产管理有限公司","歌斐诺亚融宽一号专项投资基金"
201,"歌斐资产管理有限公司","歌斐诺亚融宽二号专项投资基金（二期）"
202,"歌斐资产管理有限公司","歌斐资产昆明会展中心三号投资基金"
203,"歌斐资产管理有限公司","歌斐诺亚融宽一号专项投资基金（二期）"
204,"歌斐资产管理有限公司","珠海君棱股权投资中心（有限合伙）"
205,"歌斐资产管理有限公司","珠海君磐股权投资中心（有限合伙）"
206,"歌斐资产管理有限公司","景林歌斐创世海外投资基金第二期1号"
207,"歌斐资产管理有限公司","珠海睿韵股权投资中心（有限合伙）"
208,"歌斐资产管理有限公司","歌斐诺亚百年基业2015156号专项投资基金"
209,"歌斐资产管理有限公司","上海歌斐钥擎投资中心（有限合伙）"
210,"歌斐资产管理有限公司","上海歌斐玉黔投资中心（有限合伙）"
211,"歌斐资产管理有限公司","歌斐诺亚百年基业2015080号专项投资基金"
212,"歌斐资产管理有限公司","芜湖俊振投资中心（有限合伙）"
213,"歌斐资产管理有限公司","歌斐诺亚百年基业2015012号专项投资基金"
214,"歌斐资产管理有限公司","芜湖览派投资中心（有限合伙）"
215,"歌斐资产管理有限公司","歌斐诺亚百年基业2015015号专项投资基金"
216,"歌斐资产管理有限公司","珠海君年股权投资中心（有限合伙）"
217,"歌斐资产管理有限公司","歌斐创世狮桥租赁一期投资基金"
218,"歌斐资产管理有限公司","歌斐新城苏州太湖一号投资基金"
219,"歌斐资产管理有限公司","歌斐诺亚百年基业2015167号专项投资基金"
220,"歌斐资产管理有限公司","歌斐百年财道平衡1号投资基金"
221,"歌斐资产管理有限公司","上海创淼投资中心（有限合伙）"
222,"歌斐资产管理有限公司","景林歌斐创世海外投资基金第二期"
223,"歌斐资产管理有限公司","珠海君赫股权投资中心（有限合伙）"
224,"歌斐资产管理有限公司","歌斐资产泓晖投资基金"
225,"歌斐资产管理有限公司","歌斐诺亚百年基业2015062号专项投资基金"
226,"歌斐资产管理有限公司","珠海麒享股权投资中心（有限合伙）"
227,"歌斐资产管理有限公司","歌斐世邦魏理仕全球阿尔法房地产基金"
228,"歌斐资产管理有限公司","珠海君韵股权投资中心（有限合伙）"
229,"歌斐资产管理有限公司","珠海麒坤股权投资中心（有限合伙）"
230,"歌斐资产管理有限公司","歌斐诺亚百年基业2015018号专项投资基金"
231,"歌斐资产管理有限公司","歌斐创世碧桂园河南一号投资基金"
232,"歌斐资产管理有限公司","歌斐诺亚百年基业2015019号专项投资基金"
233,"歌斐资产管理有限公司","上海勤捷投资中心（有限合伙）"
234,"歌斐资产管理有限公司","珠海麒乾股权投资中心（有限合伙）"
235,"歌斐资产管理有限公司","歌斐创世碧桂园博意一号投资基金"
236,"歌斐资产管理有限公司","歌斐阳光城海坤二号投资基金"
237,"歌斐资产管理有限公司","珠海麒昊股权投资中心（有限合伙）"
238,"歌斐资产管理有限公司","珠海君梵股权投资中心（有限合伙）"
239,"歌斐资产管理有限公司","珠海臻浩股权投资中心（有限合伙）"
240,"歌斐资产管理有限公司","珠海麒耀股权投资中心（有限合伙）"
241,"歌斐资产管理有限公司","歌斐诺亚百年基业2015036号专项投资基金"
242,"歌斐资产管理有限公司","歌斐创世海尔供应链二期二号投资基金"
243,"歌斐资产管理有限公司","歌斐创世碧桂园大良二号投资基金"
244,"歌斐资产管理有限公司","歌斐创世碧桂园大良一号投资基金"
245,"歌斐资产管理有限公司","珠海睿雅股权投资中心（有限合伙）"
246,"歌斐资产管理有限公司","歌斐资产海外通一号投资基金"
247,"歌斐资产管理有限公司","歌斐海尔供应链一号投资基金"
248,"歌斐资产管理有限公司","歌斐百年财道全配置定制1号投资基金"
249,"歌斐资产管理有限公司","歌斐鹏礼一号投资基金"
250,"歌斐资产管理有限公司","歌斐阳光城海坤三号投资基金"
251,"歌斐资产管理有限公司","珠海麒沁股权投资中心（有限合伙）"
252,"歌斐资产管理有限公司","芜湖峰琪投资中心（有限合伙）"
253,"歌斐资产管理有限公司","歌斐诺亚百年基业2015155号专项投资基金"
254,"歌斐资产管理有限公司","珠海君晨股权投资中心（有限合伙）"
255,"歌斐资产管理有限公司","歌斐创世海尔供应链二期一号"
256,"歌斐资产管理有限公司","歌斐诺亚瑞茂通一号投资基金"
257,"歌斐资产管理有限公司","歌斐创世海尔供应链二期"
258,"歌斐资产管理有限公司","歌斐诺亚百年基业2015025号专项投资基金"
259,"歌斐资产管理有限公司","歌斐诺亚百年基业2015017号专项投资基金"
260,"歌斐资产管理有限公司","歌斐诺亚百年基业2015098号专项投资基金"
261,"歌斐资产管理有限公司","歌斐诺亚百年基业2015095号 专项投资基金"
262,"歌斐资产管理有限公司","歌斐诺亚融宽二号专项投资基金"
263,"歌斐资产管理有限公司","珠海君墨股权投资中心（有限合伙）"
264,"歌斐资产管理有限公司","歌斐诺亚百年基业2015009号专项投资基金"
265,"歌斐资产管理有限公司","歌斐创世先锋租赁应收款1号投资基金"
266,"歌斐资产管理有限公司","歌斐诺亚百年基业2015010号专项投资基金"
267,"歌斐资产管理有限公司","歌斐诺亚百年基业2015011号专项投资基金"
268,"歌斐资产管理有限公司","歌斐诺亚景林PE三期三号投资基金"
269,"歌斐资产管理有限公司","歌斐诺亚百年基业2015008号专项投资基金"
270,"歌斐资产管理有限公司","珠海麒禾股权投资中心（有限合伙）"
271,"歌斐资产管理有限公司","芜湖歌斐成益投资中心（有限合伙）"
272,"歌斐资产管理有限公司","歌斐诺亚景林PE三期一号投资基金"
273,"歌斐资产管理有限公司","歌斐诺亚景林PE三期二号投资基金"
274,"歌斐资产管理有限公司","歌斐诺亚百年基业2015007号专项投资基金"
275,"歌斐资产管理有限公司","珠海睿蔚股权投资中心(有限合伙）"
276,"歌斐资产管理有限公司","芜湖歌斐景泽投资中心（有限合伙）"
277,"歌斐资产管理有限公司","歌斐诺亚百年基业2015066号专项投资基金"
278,"歌斐资产管理有限公司","珠海君昂股权投资中心（有限合伙）"
279,"歌斐资产管理有限公司","芜湖歌斐景希投资中心（有限合伙）"
280,"歌斐资产管理有限公司","珠海君博股权投资中心（有限合伙）"
281,"歌斐资产管理有限公司","珠海麒诺股权投资中心（有限合伙）"
282,"歌斐资产管理有限公司","歌斐阳光城海坤一号投资基金"
283,"歌斐资产管理有限公司","芜湖钰玑投资中心（有限合伙）"
284,"歌斐资产管理有限公司","珠海麒泰股权投资中心（有限合伙）"
285,"歌斐资产管理有限公司","歌斐诺亚百年基业2015061号专项投资基金"
286,"歌斐资产管理有限公司","歌斐诺亚百年基业2015057号专项投资基金"
287,"歌斐资产管理有限公司","歌斐百年财道全配置投资基金"
288,"歌斐资产管理有限公司","歌斐诺亚百年基业2015059号专项投资基金"
289,"歌斐资产管理有限公司","歌斐诺亚百年基业2015060号专项投资基金"
290,"歌斐资产管理有限公司","歌斐诺亚百年基业2015079号专项投资基金"
291,"歌斐资产管理有限公司","歌斐创世核心企业三号投资基金"
292,"歌斐资产管理有限公司","歌斐诺亚中石化股权四号投资基金"
293,"歌斐资产管理有限公司","歌斐阳光城集团一号投资基金"
294,"歌斐资产管理有限公司","芜湖歌斐吉钰投资中心（有限合伙）"
295,"歌斐资产管理有限公司","歌斐资产龙湖佛山投资基金"
296,"歌斐资产管理有限公司","歌斐诺亚百年基业2015039号专项投资基金"
297,"歌斐资产管理有限公司","上海歌斐旭橙投资中心（有限合伙）"
298,"歌斐资产管理有限公司","歌斐诺亚百年基业2015050号专项投资基金"
299,"歌斐资产管理有限公司","歌斐诺亚百年基业2015035号专项投资基金"
300,"歌斐资产管理有限公司","歌斐诺亚百年基业2015069号专项投资基金"
301,"歌斐资产管理有限公司","歌斐诺亚百年基业2015037号专项投资基金"
302,"歌斐资产管理有限公司","歌斐诺亚百年基业2015038号专项投资基金"
303,"歌斐资产管理有限公司","歌斐诺亚百年基业2015031号专项投资基金"
304,"歌斐资产管理有限公司","歌斐诺亚百年基业2015032号专项投资基金"
305,"歌斐资产管理有限公司","珠海麒顺股权投资中心（有限合伙）"
306,"歌斐资产管理有限公司","歌斐聚益一号投资基金"
307,"歌斐资产管理有限公司","歌斐诺亚百年基业2015033号专项投资基金"
308,"歌斐资产管理有限公司","珠海麒苏股权投资中心（有限合伙）"
309,"歌斐资产管理有限公司","歌斐诺亚百年基业2015028号专项投资基金"
310,"歌斐资产管理有限公司","歌斐诺亚百年基业2015029号专项投资基金"
311,"歌斐资产管理有限公司","芜湖谨云投资中心（有限合伙）"
312,"歌斐资产管理有限公司","歌斐诺亚百年基业2015030号专项投资基金"
313,"歌斐资产管理有限公司","歌斐诺亚百年基业2015070号专项投资基金"
314,"歌斐资产管理有限公司","歌斐诺亚百年基业2015071号专项投资基金"
315,"歌斐资产管理有限公司","歌斐诺亚百年基业2015077号专项投资基金"
316,"歌斐资产管理有限公司","珠海麒展股权投资中心（有限合伙）"
317,"歌斐资产管理有限公司","歌斐蓝筹联盟三期投资基金"
318,"歌斐资产管理有限公司","歌斐诺亚百年基业2015056号专项投资基金"
319,"歌斐资产管理有限公司","歌斐诺亚百年基业2015065号专项投资基金"
320,"歌斐资产管理有限公司","歌斐诺亚百年基业2015067号专项投资基金"
321,"歌斐资产管理有限公司","歌斐诺亚百年基业2015151号专项投资基金"
322,"歌斐资产管理有限公司","歌斐诺亚百年基业2015068号专项投资基金"
323,"歌斐资产管理有限公司","歌斐诺亚百年基业2015063号专项投资基金"
324,"歌斐资产管理有限公司","歌斐创世海尔供应链六期投资基金"
325,"歌斐资产管理有限公司","歌斐诺亚百年基业2015051号专项投资基金"
326,"歌斐资产管理有限公司","歌斐诺亚百年基业2015005号专项投资基金"
327,"歌斐资产管理有限公司","歌斐诺亚百年基业2015052号专项投资基金"
328,"歌斐资产管理有限公司","歌斐诺亚百年基业2015053号专项投资基金"
329,"歌斐资产管理有限公司","歌斐诺亚百年基业2015055号专项投资基金"
330,"歌斐资产管理有限公司","珠海麒梵股权投资中心（有限合伙）"
331,"歌斐资产管理有限公司","歌斐阳光城海坤五号投资基金"
332,"歌斐资产管理有限公司","歌斐百年财道全配置3号投资基金"
333,"歌斐资产管理有限公司","歌斐阳光城海坤六号投资基金"
334,"歌斐资产管理有限公司","歌斐阳光城海坤七号投资基金"
335,"歌斐资产管理有限公司","海南阿里巴巴影业文化产业基金合伙企业（有限合伙）"
336,"歌斐资产管理有限公司","歌斐资产以诺教育基金二号"
337,"歌斐资产管理有限公司","歌斐百年财道全配置5号投资基金"
338,"歌斐资产管理有限公司","歌斐诺亚百年基业2015027号专项投资基金"
339,"歌斐资产管理有限公司","歌斐百年财道全配置6号投资基金"
340,"歌斐资产管理有限公司","歌斐阳光城海坤四号投资基金"
341,"歌斐资产管理有限公司","歌斐诺亚博纳二期二号投资基金"
342,"歌斐资产管理有限公司","歌斐诺亚百年基业2015026号专项投资基金"
343,"歌斐资产管理有限公司","歌斐百年财道全配置9号投资基金"
344,"歌斐资产管理有限公司","歌斐诺亚百年基业2015022号专项投资基金"
345,"歌斐资产管理有限公司","歌斐百年财道全配置8号投资基金"
346,"歌斐资产管理有限公司","歌斐诺亚博纳二期一号投资基金"
347,"歌斐资产管理有限公司","歌斐百年财道全配置7号投资基金"
348,"歌斐资产管理有限公司","歌斐诺亚百年基业2015020号专项投资基金"
349,"歌斐资产管理有限公司","珠海臻恒股权投资中心（有限合伙）"
350,"歌斐资产管理有限公司","珠海臻晨股权投资中心（有限合伙）"
351,"歌斐资产管理有限公司","歌斐阳光城海坤八号投资基金"
352,"歌斐资产管理有限公司","歌斐阳光城海坤九号投资基金"
353,"歌斐资产管理有限公司","珠海睿嵘股权投资中心（有限合伙）"
354,"歌斐资产管理有限公司","珠海睿鸿股权投资中心（有限合伙）"
355,"歌斐资产管理有限公司","歌斐阳光城海坤十号投资基金"
356,"歌斐资产管理有限公司","歌斐百年财道平衡2号投资基金"
357,"歌斐资产管理有限公司","歌斐橡树全球困境机会1号投资联结基金"
358,"歌斐资产管理有限公司","珠海麒斐股权投资中心（有限合伙）"
359,"歌斐资产管理有限公司","歌斐诺亚百年基业2015153号专项投资基金"
360,"歌斐资产管理有限公司","歌斐资产全球通二号投资基金"
